商家ID,total_actual_amount,total_postage,total_sales
100194,2611,8,19
100195,2323,0,19
100196,1747,18,15
100197,1821,0,17
100198,2740,16,18
100199,2146,0,19
100200,2312,10,16
100201,1988,0,14
100202,3144,8,18
100203,2139,8,17
100204,2935,0,21
100205,2437,0,21
100206,2620,10,21
100207,2294,10,18
100208,2056,10,17
100209,3184,16,21
100210,2271,12,20
100211,3109,0,22
100212,1549,0,16
100213,2520,12,21
100214,1987,20,19
100215,1935,6,22
100216,2574,10,20
100217,1904,0,20
100218,1801,0,16
100219,2321,18,17
100220,2634,6,21
100221,2190,8,16
100222,2544,16,19
100223,1756,0,15
100224,2883,0,23
100225,2320,0,19
100226,2502,0,22
100227,1754,0,15
100228,3112,6,22
100229,2080,0,16
100230,2278,0,20
100231,1797,8,17
100232,2362,10,17
100233,3060,10,24
100234,1912,16,16
100235,2528,0,17
100236,2263,0,17
100237,2297,8,18
100238,2604,0,17
100239,2311,8,20
100240,1867,0,20
100241,2716,26,17
100242,2491,8,20
100243,2873,0,22
100244,1921,0,17
100245,2627,8,20
100246,1653,6,17
100247,2055,0,18
100248,2172,10,15
100249,2058,6,16
100250,3068,6,19
100251,2335,6,19
100252,2287,14,16
100253,2647,10,19
100254,2323,0,17
100255,1786,0,10
100256,1818,0,14
100257,2093,0,18
100258,2033,10,18
100259,2219,0,18
100260,2039,0,17
100261,1994,0,16
100262,1850,0,17
100263,2107,0,17
100264,1423,8,13
100265,1489,0,12
100266,2111,0,15
100267,1620,0,12
100268,1748,10,12
100269,1527,0,13
100270,1504,8,10
100271,1920,0,13
100272,1658,0,15
100273,1516,0,13
100274,1728,0,15
100275,1542,8,10
100276,1817,18,14
100277,1900,6,13
100278,2293,0,15
100279,1917,0,13
100280,1290,8,15
100281,1460,0,12
100282,1365,0,11
100283,1308,0,13
100284,2066,0,15
100285,1963,8,16
100286,2009,10,14
100287,1746,0,13
100288,1319,0,13
100289,1624,0,14
100290,893,8,11
100291,1263,0,11
100292,1775,0,14
100293,1162,0,11
100294,1243,0,11
100295,2408,0,16
100296,2209,0,15
100297,1011,0,11
100298,1618,0,13
100299,1461,8,12
100300,1488,8,10
100301,1289,0,11
100302,1493,10,15
100303,1163,0,8
100304,1324,8,10
100305,1180,6,10
100306,1512,0,10
100307,1565,6,12
100308,1043,6,8
100309,1215,0,9
